Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/29/2023,03/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
03/28/2023,03/28/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
03/22/2023,03/22/2023,WF WAYFAIR3801237073,Home,Sale,-257.13,
03/17/2023,03/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-139.51,
03/14/2023,03/15/2023,Payment Thank You-Mobile,,Payment,197.00,
03/14/2023,03/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,197.00,
03/11/2023,03/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-35.50,
03/08/2023,03/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
03/07/2023,03/08/2023,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
03/05/2023,03/05/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
03/03/2023,03/05/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.46,
03/02/2023,03/02/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.00,
02/28/2023,02/28/2023,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.00,
02/28/2023,02/28/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
02/28/2023,02/28/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
02/17/2023,02/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-134.46,
02/14/2023,02/14/2023,Payment Thank You - Web,,Payment,1000.00,
02/13/2023,02/14/2023,BDI*BALLARD DESIGNS,Home,Sale,-1289.98,
02/12/2023,02/13/2023,BLINDS.COM #2150,Home,Sale,-272.56,
02/09/2023,02/10/2023,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
02/08/2023,02/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
02/05/2023,02/05/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
02/04/2023,02/05/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.53,
01/30/2023,01/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.00,
01/29/2023,01/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
01/24/2023,01/24/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
01/20/2023,01/20/2023,RESIDENT* NECTAR,Home,Sale,-1453.54,
01/17/2023,01/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-83.14,
01/13/2023,01/13/2023,AUTOMATIC PAYMENT - THANK,,Payment,78.00,
01/12/2023,01/12/2023,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
01/11/2023,01/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-199.27,
01/10/2023,01/11/2023,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
01/08/2023,01/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
01/04/2023,01/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
01/03/2023,01/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.39,
12/30/2022,12/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
12/29/2022,12/29/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
12/29/2022,12/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
12/27/2022,12/27/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
12/17/2022,12/18/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
12/16/2022,12/16/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-47.05,
12/14/2022,12/14/2022,Payment Thank You - Web,,Payment,300.00,
12/11/2022,12/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-181.11,
12/10/2022,12/11/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
12/08/2022,12/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
12/04/2022,12/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
12/03/2022,12/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.45,
12/02/2022,12/04/2022,SQ *PILLAR &amp; COMPANY,Professional Services,Sale,-1195.00,
11/30/2022,12/01/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
11/30/2022,11/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
11/29/2022,11/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
11/28/2022,11/29/2022,SP 34HERITAGE,Shopping,Sale,-175.00,
11/22/2022,11/22/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
11/16/2022,11/17/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-28.18,
11/16/2022,11/17/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
11/14/2022,11/15/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
11/11/2022,11/13/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-314.57,
11/11/2022,11/11/2022,Payment Thank You - Web,,Payment,1330.89,
11/08/2022,11/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
11/03/2022,11/04/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
11/04/2022,11/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
11/03/2022,11/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.37,
10/31/2022,11/01/2022,PLUSHCARE 855-559-2285,Health & Wellness,Return,20.16,
10/30/2022,10/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
10/29/2022,10/30/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
10/26/2022,10/28/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-30.61,
10/25/2022,10/25/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
10/19/2022,10/20/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
10/16/2022,10/18/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-197.18,
10/14/2022,10/14/2022,Payment Thank You - Web,,Payment,1752.69,
10/12/2022,10/13/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
10/11/2022,10/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-197.33,
10/11/2022,10/12/2022,PLUSHCARE 855-559-2285,Health & Wellness,Sale,-39.79,
10/07/2022,10/09/2022,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.00,
10/08/2022,10/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
10/06/2022,10/07/2022,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-505.00,
10/06/2022,10/06/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
10/04/2022,10/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.21,
10/03/2022,10/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.32,
09/30/2022,09/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
09/29/2022,09/30/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-30.10,
09/29/2022,09/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
09/27/2022,09/27/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
09/22/2022,09/23/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
09/14/2022,09/15/2022,GOOGLE *GOWOD,Shopping,Sale,-12.98,
09/13/2022,09/13/2022,Payment Thank You - Web,,Payment,1562.58,
09/11/2022,09/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-228.16,
09/08/2022,09/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
09/08/2022,09/09/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
09/06/2022,09/07/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
09/04/2022,09/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
09/03/2022,09/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.64,
09/01/2022,09/02/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-70.97,
08/30/2022,08/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
08/29/2022,08/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
08/24/2022,08/25/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
08/22/2022,08/24/2022,SHELL OIL 57444172605,Gas,Sale,-73.74,
08/23/2022,08/23/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
08/20/2022,08/22/2022,EVEREVE - 11,Shopping,Sale,-105.60,
08/19/2022,08/21/2022,GLO NAIL LOUNGE,Personal,Sale,-105.00,
08/20/2022,08/21/2022,SEPHORA NAPERVILLE,Shopping,Sale,-77.58,
08/20/2022,08/21/2022,LULULEMON NAPERVILLE,Shopping,Sale,-474.11,
08/17/2022,08/18/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
08/14/2022,08/15/2022,SQ *LASERAWAY NAPERVILLE,Personal,Sale,-199.00,
08/14/2022,08/14/2022,GOOGLE *GOWOD,Professional Services,Sale,-12.98,
08/12/2022,08/14/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-117.50,
08/12/2022,08/12/2022,Payment Thank You - Web,,Payment,1891.41,
08/11/2022,08/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-267.22,
08/11/2022,08/11/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
08/08/2022,08/10/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-285.31,
08/08/2022,08/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
08/04/2022,08/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.23,
08/03/2022,08/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.79,
07/30/2022,07/31/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
07/29/2022,07/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
07/27/2022,07/28/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
07/26/2022,07/26/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
07/20/2022,07/21/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-103.42,
07/16/2022,07/18/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-63.22,
07/14/2022,07/15/2022,GOOGLE *GOWOD,Shopping,Sale,-12.98,
07/14/2022,07/15/2022,UBER   TRIP,Travel,Sale,-39.55,
07/14/2022,07/15/2022,UBER   TRIP,Travel,Sale,-39.55,
07/14/2022,07/15/2022,UBER   TRIP,Travel,Sale,-1.00,
07/14/2022,07/15/2022,UBER   TRIP,Travel,Sale,-8.96,
07/14/2022,07/15/2022,UBER   TRIP,Travel,Sale,-1.00,
07/13/2022,07/14/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
07/13/2022,07/13/2022,Payment Thank You - Web,,Payment,5640.42,
07/11/2022,07/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-224.41,
07/08/2022,07/10/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
07/05/2022,07/06/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
07/03/2022,07/05/2022,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.00,
07/04/2022,07/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.23,
07/03/2022,07/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.77,
07/01/2022,07/03/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-59.81,
06/30/2022,07/01/2022,rawsomepets.net,Shopping,Sale,-342.88,
06/30/2022,07/01/2022,NAPERVILLE MULCH SALES,Home,Sale,-371.67,
06/30/2022,06/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.00,
06/29/2022,06/30/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
06/29/2022,06/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
06/27/2022,06/28/2022,EXPRESS#0344,Shopping,Return,36.28,
06/28/2022,06/28/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
06/23/2022,06/26/2022,BYTE,Health & Wellness,Return,89.37,
06/23/2022,06/24/2022,SP BYTE SHOP,Health & Wellness,Return,16.10,
06/22/2022,06/23/2022,STAX   *AKITA SECURIT,Professional Services,Sale,-45.39,
06/20/2022,06/22/2022,MENARDS NAPERVILLE IL,Home,Sale,-164.91,
06/15/2022,06/16/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.00,
06/15/2022,06/16/2022,ILSOS INT VEH RENEWAL,Bills & Utilities,Sale,-154.40,
06/15/2022,06/16/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-55.23,
06/13/2022,06/15/2022,BYTE,Health & Wellness,Sale,-89.37,
06/13/2022,06/13/2022,Payment Thank You - Web,,Payment,972.57,
06/11/2022,06/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-176.51,
06/11/2022,06/12/2022,EXPRESS.COM,Shopping,Sale,-36.28,
