,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
53,12/09/2023,12/10/2023,TARGET.COM *,Shopping,Return,49.02,
54,12/03/2023,12/05/2023,PLAYROOM CAFE TWO LLC,Food & Drink,Sale,-5.29,
55,12/03/2023,12/05/2023,PLAYROOM CAFE TWO LLC,Food & Drink,Sale,-1.08,
56,12/04/2023,12/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
57,12/03/2023,12/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.52,
58,11/30/2023,11/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
59,11/28/2023,11/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
60,11/27/2023,11/28/2023,TARGET.COM *,Shopping,Sale,-49.02,
61,11/27/2023,11/28/2023,TARGET.COM *,Shopping,Sale,-25.41,
62,11/27/2023,11/28/2023,TARGET.COM *,Shopping,Sale,-7.56,
63,11/26/2023,11/27/2023,GLO NAIL LOUNGE,Personal,Sale,-65.0,
64,11/22/2023,11/23/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-18.0,
65,11/21/2023,11/21/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
66,11/14/2023,11/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,34.18,
67,11/08/2023,11/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
68,11/06/2023,11/08/2023,DU PAGE VALLEY ANESTHESI,Health & Wellness,Sale,-180.33,
69,11/05/2023,11/05/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
70,11/03/2023,11/05/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.37,
71,11/01/2023,11/03/2023,THE GROVE-CHICAGO,Food & Drink,Sale,-9.55,
72,11/01/2023,11/03/2023,TST* Berghoff Cafe - Oha,Food & Drink,Sale,-27.12,
73,10/30/2023,10/31/2023,GLO NAIL LOUNGE,Personal,Sale,-65.0,
74,10/30/2023,10/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
75,10/27/2023,10/29/2023,LOFT MAIN ST PROMEN,Shopping,Sale,-12.72,
76,10/26/2023,10/29/2023,LOY*LPDPATHOLOGY,Health & Wellness,Sale,-132.7,
77,10/28/2023,10/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
78,10/25/2023,10/27/2023,STARBUCKS STORE ,Food & Drink,Sale,-6.71,
79,10/26/2023,10/27/2023,EEH-MYCHART,Health & Wellness,Sale,-1373.85,
80,10/25/2023,10/27/2023,LOY*LPDPATHOLOGY,Health & Wellness,Sale,-158.7,
81,10/25/2023,10/26/2023,CD One Price Cleaners #,Personal,Sale,-8.58,
82,10/25/2023,10/26/2023,GLO NAIL LOUNGE,Personal,Sale,-70.0,
83,10/24/2023,10/25/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
84,10/23/2023,10/24/2023,EEH-MYCHART,Health & Wellness,Sale,-1479.65,
85,10/20/2023,10/22/2023,TST* Sparrow Coffee Naper,Food & Drink,Sale,-13.45,
86,10/20/2023,10/22/2023,WALGREENS #,Health & Wellness,Sale,-17.04,
87,10/19/2023,10/20/2023,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-579.0,
88,10/18/2023,10/19/2023,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-299.83,
89,10/18/2023,10/19/2023,TARGET.COM *,Shopping,Sale,-50.62,
90,10/18/2023,10/19/2023,TARGET.COM *,Shopping,Sale,-32.02,
91,10/18/2023,10/19/2023,TARGET.COM *,Shopping,Sale,-38.48,
92,10/18/2023,10/18/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Refund,0.09,
93,10/16/2023,10/18/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-1432.14,
94,10/17/2023,10/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-106.36,
95,10/16/2023,10/16/2023,Payment Thank You Bill Pa,,Payment,5315.86,
96,10/13/2023,10/13/2023,AUTOMATIC PAYMENT - THANK,,Payment,138.0,
97,10/12/2023,10/13/2023,CASEYS FOODS,Groceries,Sale,-65.82,
98,10/10/2023,10/11/2023,MICHAEL GRAHAM SALON &amp; SP,Health & Wellness,Sale,-138.0,
99,10/07/2023,10/09/2023,GLO NAIL LOUNGE,Personal,Sale,-65.0,
100,10/08/2023,10/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
101,10/06/2023,10/08/2023,STARBUCKS STORE ,Food & Drink,Sale,-13.4,
102,10/06/2023,10/08/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-18.0,
103,10/04/2023,10/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
104,10/03/2023,10/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.48,
105,10/02/2023,10/03/2023,UPPABABY,Shopping,Sale,-64.6,
106,09/30/2023,10/01/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
107,09/28/2023,09/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
108,09/25/2023,09/27/2023,STARBUCKS STORE ,Food & Drink,Sale,-14.25,
109,09/26/2023,09/26/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
110,09/23/2023,09/24/2023,KELLER'S FARMSTAND O ,Home,Sale,-11.1,
111,09/19/2023,09/20/2023,DUPAGE CNTY HEALTH DEP,Bills & Utilities,Sale,-20.0,
112,09/18/2023,09/19/2023,GLO NAIL LOUNGE,Personal,Sale,-65.0,
113,09/17/2023,09/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-91.12,
114,09/16/2023,09/17/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-700.0,
115,09/16/2023,09/17/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-60.0,
116,09/14/2023,09/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,104.0,
117,09/11/2023,09/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-254.23,
118,09/08/2023,09/10/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-12.0,
119,09/09/2023,09/10/2023,RIVERBEND CAFE,Health & Wellness,Sale,-16.7,
120,09/08/2023,09/10/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
121,09/04/2023,09/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
122,09/03/2023,09/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.52,
123,09/02/2023,09/03/2023,TARGET.COM *,Shopping,Sale,-11.03,
124,09/01/2023,09/03/2023,Sugaring - Naperville,Health & Wellness,Sale,-45.5,
125,08/31/2023,09/01/2023,TARGET.COM *,Shopping,Sale,-38.79,
126,08/29/2023,08/30/2023,GLO NAIL LOUNGE,Personal,Sale,-75.0,
127,08/30/2023,08/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
128,08/28/2023,08/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
129,08/22/2023,08/23/2023,SHS*DUPAGEMEDGRP,Health & Wellness,Sale,-200.0,
130,08/22/2023,08/22/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
131,08/17/2023,08/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-73.18,
132,08/14/2023,08/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,85.0,
133,08/11/2023,08/13/2023,COOPERS HAWK WINE C D,Food & Drink,Sale,-3.0,
134,08/11/2023,08/13/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-219.63,
135,08/08/2023,08/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
136,08/04/2023,08/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
137,08/03/2023,08/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.66,
138,07/30/2023,07/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
139,07/28/2023,07/30/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
140,07/25/2023,07/25/2023,COOPERSHAWK,Food & Drink,Sale,-44.99,
141,07/17/2023,07/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-57.18,
142,07/14/2023,07/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,40.0,
143,07/11/2023,07/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-270.3,
144,07/08/2023,07/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
145,07/04/2023,07/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.26,
146,07/03/2023,07/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.7,
147,06/28/2023,06/30/2023,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.0,
148,06/30/2023,06/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
149,06/28/2023,06/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
150,06/28/2023,06/29/2023,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
151,06/27/2023,06/27/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
152,06/14/2023,06/15/2023,POTTERYBARNKIDS.COM,Home,Sale,-57.85,
153,06/14/2023,06/14/2023,Payment Thank You - Web,,Payment,3320.57,
154,06/11/2023,06/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-218.21,
155,06/09/2023,06/11/2023,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
156,06/08/2023,06/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
157,06/04/2023,06/05/2023,GOING.COM SCOTTSFLGHTS,Bills & Utilities,Sale,-49.0,
158,06/04/2023,06/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
159,06/03/2023,06/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.57,
160,06/02/2023,06/04/2023,TST* NOTHING BUNDT CAKES,Food & Drink,Sale,-27.2,
161,05/31/2023,05/31/2023,MED*LURIE CHILD SURG,Health & Wellness,Sale,-1006.92,
162,05/30/2023,05/31/2023,EEH-MYCHART,Health & Wellness,Sale,-520.0,
163,05/30/2023,05/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
164,05/28/2023,05/28/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.96,
165,05/23/2023,05/24/2023,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
166,05/23/2023,05/23/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
167,05/15/2023,05/15/2023,Payment Thank You - Web,,Payment,658.84,
168,05/14/2023,05/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,137.0,
169,05/11/2023,05/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-173.32,
170,05/08/2023,05/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
171,05/05/2023,05/07/2023,LOWES #*,Home,Sale,-173.8,
172,05/04/2023,05/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
173,05/03/2023,05/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.49,
174,05/02/2023,05/03/2023,POTTERYBARNKIDS.COM,Home,Sale,-1704.41,
175,05/02/2023,05/03/2023,RESIDENT* NECTAR,Home,Sale,-429.92,
176,04/29/2023,04/30/2023,NATERA,Health & Wellness,Sale,-584.47,
177,04/30/2023,04/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
178,04/29/2023,04/30/2023,SP SUN BUM,Shopping,Sale,-44.61,
179,04/29/2023,04/30/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
180,04/25/2023,04/25/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
181,04/17/2023,04/18/2023,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
182,04/17/2023,04/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-129.72,
183,04/13/2023,04/13/2023,Payment Thank You - Web,,Payment,6305.49,
184,04/11/2023,04/12/2023,BROWN BAG SEAFOOD,Food & Drink,Sale,-78.17,
185,04/11/2023,04/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-166.15,
186,04/08/2023,04/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
187,04/04/2023,04/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
188,04/03/2023,04/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.51,
189,03/30/2023,03/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
190,03/29/2023,03/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
191,03/28/2023,03/28/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
192,03/22/2023,03/22/2023,WF WAYFAIR,Home,Sale,-257.13,
193,03/17/2023,03/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-139.51,
194,03/14/2023,03/15/2023,Payment Thank You-Mobile,,Payment,197.0,
195,03/14/2023,03/14/2023,AUTOMATIC PAYMENT - THANK,,Payment,197.0,
196,03/11/2023,03/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-35.5,
197,03/08/2023,03/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
198,03/07/2023,03/08/2023,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
199,03/05/2023,03/05/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.25,
200,03/03/2023,03/05/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-8.46,
201,03/02/2023,03/02/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
202,02/28/2023,02/28/2023,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.0,
203,02/28/2023,02/28/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
204,02/28/2023,02/28/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
205,02/17/2023,02/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-134.46,
206,02/14/2023,02/14/2023,Payment Thank You - Web,,Payment,1000.0,
207,02/13/2023,02/14/2023,BDI*BALLARD DESIGNS,Home,Sale,-1289.98,
208,02/12/2023,02/13/2023,BLINDS.COM #,Home,Sale,-272.56,
209,02/09/2023,02/10/2023,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
210,02/08/2023,02/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
211,02/05/2023,02/05/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
212,02/04/2023,02/05/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.53,
213,01/30/2023,01/30/2023,COMCAST CHICAGO,Bills & Utilities,Sale,-90.0,
214,01/29/2023,01/29/2023,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
215,01/24/2023,01/24/2023,COOPERSHAWK,Food & Drink,Sale,-41.99,
216,01/20/2023,01/20/2023,RESIDENT* NECTAR,Home,Sale,-1453.54,
217,01/17/2023,01/17/2023,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-83.14,
218,01/13/2023,01/13/2023,AUTOMATIC PAYMENT - THANK,,Payment,78.0,
219,01/12/2023,01/12/2023,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
220,01/11/2023,01/12/2023,CITY OF NAPERVILLE,Bills & Utilities,Sale,-199.27,
221,01/10/2023,01/11/2023,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
222,01/08/2023,01/09/2023,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
223,01/04/2023,01/04/2023,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
224,01/03/2023,01/04/2023,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.39,
225,12/30/2022,12/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.0,
226,12/29/2022,12/29/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
227,12/29/2022,12/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
228,12/27/2022,12/27/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
229,12/17/2022,12/18/2022,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
230,12/16/2022,12/16/2022,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-47.05,
231,12/14/2022,12/14/2022,Payment Thank You - Web,,Payment,300.0,
232,12/11/2022,12/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-181.11,
233,12/10/2022,12/11/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
234,12/08/2022,12/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
235,12/04/2022,12/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
236,12/03/2022,12/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.45,
237,12/02/2022,12/04/2022,SQ *PILLAR &amp; COMPANY,Professional Services,Sale,-1195.0,
238,11/30/2022,12/01/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
239,11/30/2022,11/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.0,
240,11/29/2022,11/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
241,11/28/2022,11/29/2022,SP HERITAGE,Shopping,Sale,-175.0,
242,11/22/2022,11/22/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
243,11/16/2022,11/17/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-28.18,
244,11/16/2022,11/17/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
245,11/14/2022,11/15/2022,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
246,11/11/2022,11/13/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-314.57,
247,11/11/2022,11/11/2022,Payment Thank You - Web,,Payment,1330.89,
248,11/08/2022,11/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
249,11/03/2022,11/04/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
250,11/04/2022,11/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
251,11/03/2022,11/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.37,
252,10/31/2022,11/01/2022,PLUSHCARE --,Health & Wellness,Return,20.16,
253,10/30/2022,10/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.0,
254,10/29/2022,10/30/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
255,10/26/2022,10/28/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-30.61,
256,10/25/2022,10/25/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
257,10/19/2022,10/20/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
258,10/16/2022,10/18/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-197.18,
259,10/14/2022,10/14/2022,Payment Thank You - Web,,Payment,1752.69,
260,10/12/2022,10/13/2022,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
261,10/11/2022,10/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-197.33,
262,10/11/2022,10/12/2022,PLUSHCARE --,Health & Wellness,Sale,-39.79,
263,10/07/2022,10/09/2022,IL TOLLWAY-AUTOREPLENISH,Travel,Sale,-20.0,
264,10/08/2022,10/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
265,10/06/2022,10/07/2022,LONGEVITY SPA - NAPERV,Health & Wellness,Sale,-505.0,
266,10/06/2022,10/06/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
267,10/04/2022,10/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.21,
268,10/03/2022,10/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.32,
269,09/30/2022,09/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.0,
270,09/29/2022,09/30/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-30.1,
271,09/29/2022,09/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
272,09/27/2022,09/27/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
273,09/22/2022,09/23/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
274,09/14/2022,09/15/2022,GOOGLE *GOWOD,Shopping,Sale,-12.98,
275,09/13/2022,09/13/2022,Payment Thank You - Web,,Payment,1562.58,
276,09/11/2022,09/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-228.16,
277,09/08/2022,09/09/2022,Roku for Showtime Digital,Bills & Utilities,Sale,-10.99,
278,09/08/2022,09/09/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
279,09/06/2022,09/07/2022,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
280,09/04/2022,09/04/2022,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22,
281,09/03/2022,09/04/2022,Amazon.ca Prime Member,Bills & Utilities,Sale,-7.64,
282,09/01/2022,09/02/2022,BROWN BAG SEAFOOD,Food & Drink,Sale,-70.97,
283,08/30/2022,08/30/2022,COMCAST CHICAGO,Bills & Utilities,Sale,-70.0,
284,08/29/2022,08/29/2022,DollarShaveClubUS,Bills & Utilities,Sale,-12.93,
285,08/24/2022,08/25/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
286,08/22/2022,08/24/2022,SHELL OIL ,Gas,Sale,-73.74,
287,08/23/2022,08/23/2022,COOPERSHAWK,Food & Drink,Sale,-41.99,
288,08/20/2022,08/22/2022,EVEREVE - ,Shopping,Sale,-105.6,
289,08/19/2022,08/21/2022,GLO NAIL LOUNGE,Personal,Sale,-105.0,
290,08/20/2022,08/21/2022,SEPHORA NAPERVILLE,Shopping,Sale,-77.58,
291,08/20/2022,08/21/2022,LULULEMON NAPERVILLE,Shopping,Sale,-474.11,
292,08/17/2022,08/18/2022,STAX *AKITA SECURIT,Professional Services,Sale,-45.39,
293,08/14/2022,08/15/2022,SQ *LASERAWAY NAPERVILLE,Personal,Sale,-199.0,
294,08/14/2022,08/14/2022,GOOGLE *GOWOD,Professional Services,Sale,-12.98,
295,08/12/2022,08/14/2022,DUPAGE MEDICAL GROUP,Health & Wellness,Sale,-117.5,
296,08/12/2022,08/12/2022,Payment Thank You - Web,,Payment,1891.41,
297,08/11/2022,08/12/2022,CITY OF NAPERVILLE,Bills & Utilities,Sale,-267.22,
298,08/11/2022,08/11/2022,PAYPAL *KESAP CLEAN,Home,Sale,-185.0,
